evento_id,tipo,subtipo,calle,lat,lon,timestamp,fecha_evento,hora_evento,fuente,procesado
jam_1744578938000_-33.471167_-70.736789,JAM,JAM_STAND_STILL_TRAFFIC,Av. Pajaritos,-33.471167,-70.736789,1744578938000,2025-04-13T21:15:38Z,21:15:38,scraper,False
jam_1744578945000_-33.395201_-70.563798,JAM,JAM_STAND_STILL_TRAFFIC,Autopista Kennedy,-33.395201,-70.563798,1744578945000,2025-04-13T21:15:45Z,21:15:45,scraper,False
jam_1744578957000_-33.481394_-70.744481,JAM,JAM_STAND_STILL_TRAFFIC,Av. Pajaritos,-33.481394,-70.744481,1744578957000,2025-04-13T21:15:57Z,21:15:57,scraper,False
jam_1744578978000_-33.523367_-70.598771,JAM,JAM_HEAVY_TRAFFIC,Av. Américo Vespucio,-33.523367,-70.598771,1744578978000,2025-04-13T21:16:18Z,21:16:18,scraper,False
jam_1744579038000_-33.832451_-71.353563,JAM,,Ruta G-60,-33.832451,-71.353563,1744579038000,2025-04-13T21:17:18Z,21:17:18,scraper,False
jam_1744579077000_-33.332087_-71.385364,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.332087,-71.385364,1744579077000,2025-04-13T21:17:57Z,21:17:57,scraper,False
jam_1744579081000_-33.830118_-71.347284,JAM,,Ruta G-60,-33.830118,-71.347284,1744579081000,2025-04-13T21:18:01Z,21:18:01,scraper,False
jam_1744579088000_-33.459263_-70.688913,JAM,JAM_HEAVY_TRAFFIC,Av. Padre Alberto Hurtado,-33.459263,-70.688913,1744579088000,2025-04-13T21:18:08Z,21:18:08,scraper,False
jam_1744579092000_-33.447575_-70.777602,JAM,JAM_STAND_STILL_TRAFFIC,Av. Américo Vespucio,-33.447575,-70.777602,1744579092000,2025-04-13T21:18:12Z,21:18:12,scraper,False
jam_1744579092000_-33.447668_-70.777477,JAM,JAM_STAND_STILL_TRAFFIC,Av. Américo Vespucio,-33.447668,-70.777477,1744579092000,2025-04-13T21:18:12Z,21:18:12,scraper,False
jam_1744579114000_-33.423676_-70.580004,JAM,JAM_HEAVY_TRAFFIC,Av. Cristóbal Colón,-33.423676,-70.580004,1744579114000,2025-04-13T21:18:34Z,21:18:34,scraper,False
jam_1744579143000_-33.421222_-70.616868,JAM,,Monseñor Carlos Casanueva,-33.421222,-70.616868,1744579143000,2025-04-13T21:19:03Z,21:19:03,scraper,False
jam_1744579144000_-33.661481_-71.249696,JAM,,Ruta 78,-33.661481,-71.249696,1744579144000,2025-04-13T21:19:04Z,21:19:04,scraper,False
jam_1744579145000_-33.285125_-70.736771,JAM,JAM_STAND_STILL_TRAFFIC,Ruta 5 Norte,-33.285125,-70.736771,1744579145000,2025-04-13T21:19:05Z,21:19:05,scraper,False
jam_1744579145000_-33.285216_-70.736731,JAM,JAM_STAND_STILL_TRAFFIC,Ruta 5 Norte,-33.285216,-70.736731,1744579145000,2025-04-13T21:19:05Z,21:19:05,scraper,False
jam_1744579149000_-33.827047_-71.339022,JAM,,Ruta G-60,-33.827047,-71.339022,1744579149000,2025-04-13T21:19:09Z,21:19:09,scraper,False
jam_1744579177000_-33.540388_-70.611574,JAM,JAM_STAND_STILL_TRAFFIC,Av. Américo Vespucio,-33.540388,-70.611574,1744579177000,2025-04-13T21:19:37Z,21:19:37,scraper,False
jam_1744579190000_-33.540025_-70.611059,JAM,JAM_STAND_STILL_TRAFFIC,Av. Américo Vespucio,-33.540025,-70.611059,1744579190000,2025-04-13T21:19:50Z,21:19:50,scraper,False
jam_1744579234000_-33.421096_-70.576836,JAM,JAM_STAND_STILL_TRAFFIC,Félix de Amesti,-33.421096,-70.576836,1744579234000,2025-04-13T21:20:34Z,21:20:34,scraper,False
jam_1744579244000_-33.579798_-70.559572,JAM,JAM_HEAVY_TRAFFIC,Av. El Peñón,-33.579798,-70.559572,1744579244000,2025-04-13T21:20:44Z,21:20:44,scraper,False
jam_1744579248000_-33.539636_-70.610684,JAM,JAM_STAND_STILL_TRAFFIC,Av. Américo Vespucio,-33.539636,-70.610684,1744579248000,2025-04-13T21:20:48Z,21:20:48,scraper,False
jam_1744579337000_-33.471587_-70.737301,JAM,JAM_HEAVY_TRAFFIC,Av. Pajaritos,-33.471587,-70.737301,1744579337000,2025-04-13T21:22:17Z,21:22:17,scraper,False
jam_1744579344000_-33.447105_-70.778291,JAM,,Av. Américo Vespucio,-33.447105,-70.778291,1744579344000,2025-04-13T21:22:24Z,21:22:24,scraper,False
jam_1744579366000_-33.594285_-70.627808,JAM,,Av. Santa Rosa,-33.594285,-70.627808,1744579366000,2025-04-13T21:22:46Z,21:22:46,scraper,False
jam_1744579376000_-33.630143_-70.558934,JAM,JAM_STAND_STILL_TRAFFIC,Av. Ramón Subercaseaux,-33.630143,-70.558934,1744579376000,2025-04-13T21:22:56Z,21:22:56,scraper,False
jam_1744579387000_-33.630543_-70.559984,JAM,JAM_STAND_STILL_TRAFFIC,Av. Ramón Subercaseaux,-33.630543,-70.559984,1744579387000,2025-04-13T21:23:07Z,21:23:07,scraper,False
jam_1744579391000_-33.527152_-70.602649,JAM,JAM_STAND_STILL_TRAFFIC,Av. Américo Vespucio,-33.527152,-70.602649,1744579391000,2025-04-13T21:23:11Z,21:23:11,scraper,False
jam_1744579407000_-33.402652_-70.576472,JAM,JAM_HEAVY_TRAFFIC,Cerro Colorado,-33.402652,-70.576472,1744579407000,2025-04-13T21:23:27Z,21:23:27,scraper,False
jam_1744579409000_-33.456442_-70.969038,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.456442,-70.969038,1744579409000,2025-04-13T21:23:29Z,21:23:29,scraper,False
jam_1744579435000_-33.444969_-70.631134,JAM,JAM_STAND_STILL_TRAFFIC,General Bustamante,-33.444969,-70.631134,1744579435000,2025-04-13T21:23:55Z,21:23:55,scraper,False
jam_1744579455000_-33.391025_-70.506379,JAM,,San Carlos de Apoquindo,-33.391025,-70.506379,1744579455000,2025-04-13T21:24:15Z,21:24:15,scraper,False
jam_1744579457000_-33.633252_-70.567048,JAM,JAM_STAND_STILL_TRAFFIC,Av. Ramón Subercaseaux,-33.633252,-70.567048,1744579457000,2025-04-13T21:24:17Z,21:24:17,scraper,False
jam_1744579466000_-33.582049_-70.587609,JAM,,Altazor,-33.582049,-70.587609,1744579466000,2025-04-13T21:24:26Z,21:24:26,scraper,False
jam_1744579471000_-33.448329_-70.630184,JAM,JAM_STAND_STILL_TRAFFIC,General Bustamante,-33.448329,-70.630184,1744579471000,2025-04-13T21:24:31Z,21:24:31,scraper,False
jam_1744579473000_-33.633901_-70.568701,JAM,JAM_STAND_STILL_TRAFFIC,Av. Ramón Subercaseaux,-33.633901,-70.568701,1744579473000,2025-04-13T21:24:33Z,21:24:33,scraper,False
jam_1744579474000_-33.824817_-71.333976,JAM,JAM_HEAVY_TRAFFIC,Ruta G-60,-33.824817,-71.333976,1744579474000,2025-04-13T21:24:34Z,21:24:34,scraper,False
jam_1744579478000_-33.684834_-70.658229,JAM,,Los Maitenes,-33.684834,-70.658229,1744579478000,2025-04-13T21:24:38Z,21:24:38,scraper,False
jam_1744579491000_-33.427152_-70.643046,JAM,,Buenos Aires,-33.427152,-70.643046,1744579491000,2025-04-13T21:24:51Z,21:24:51,scraper,False
jam_1744579515000_-33.434973_-70.635535,JAM,,Pío Nono,-33.434973,-70.635535,1744579515000,2025-04-13T21:25:15Z,21:25:15,scraper,False
jam_1744579528000_-33.477812_-70.756067,JAM,JAM_STAND_STILL_TRAFFIC,Av. Américo Vespucio,-33.477812,-70.756067,1744579528000,2025-04-13T21:25:28Z,21:25:28,scraper,False
jam_1744579589000_-33.398314_-70.572792,JAM,JAM_HEAVY_TRAFFIC,Av. Presidente Kennedy,-33.398314,-70.572792,1744579589000,2025-04-13T21:26:29Z,21:26:29,scraper,False
jam_1744579597000_-33.411949_-71.159873,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.411949,-71.159873,1744579597000,2025-04-13T21:26:37Z,21:26:37,scraper,False
jam_1744579597000_-33.412294_-71.158044,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.412294,-71.158044,1744579597000,2025-04-13T21:26:37Z,21:26:37,scraper,False
jam_1744579620000_-33.412726_-71.155754,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.412726,-71.155754,1744579620000,2025-04-13T21:27:00Z,21:27:00,scraper,False
jam_1744579621000_-33.741668_-71.227225,JAM,,Ruta G-60,-33.741668,-71.227225,1744579621000,2025-04-13T21:27:01Z,21:27:01,scraper,False
jam_1744579628000_-33.398814_-70.574054,JAM,JAM_STAND_STILL_TRAFFIC,Av. Presidente Kennedy,-33.398814,-70.574054,1744579628000,2025-04-13T21:27:08Z,21:27:08,scraper,False
jam_1744579689000_-33.475203_-70.740302,JAM,JAM_HEAVY_TRAFFIC,Av. Pajaritos,-33.475203,-70.740302,1744579689000,2025-04-13T21:28:09Z,21:28:09,scraper,False
jam_1744579690000_-33.402804_-71.217784,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.402804,-71.217784,1744579690000,2025-04-13T21:28:10Z,21:28:10,scraper,False
jam_1744579724000_-33.480767_-70.744709,JAM,JAM_HEAVY_TRAFFIC,Av. Pajaritos,-33.480767,-70.744709,1744579724000,2025-04-13T21:28:44Z,21:28:44,scraper,False
jam_1744579732000_-33.551332_-70.672653,JAM,,Gran Avenida José Miguel Carrera,-33.551332,-70.672653,1744579732000,2025-04-13T21:28:52Z,21:28:52,scraper,False
jam_1744579765000_-33.438375_-70.610081,JAM,,Av. Francisco Bilbao,-33.438375,-70.610081,1744579765000,2025-04-13T21:29:25Z,21:29:25,scraper,False
jam_1744579782000_-33.405603_-71.192063,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.405603,-71.192063,1744579782000,2025-04-13T21:29:42Z,21:29:42,scraper,False
jam_1744579782000_-33.438349_-70.610381,JAM,,Av. Francisco Bilbao,-33.438349,-70.610381,1744579782000,2025-04-13T21:29:42Z,21:29:42,scraper,False
jam_1744579791000_-33.438409_-70.610877,JAM,,Av. Francisco Bilbao,-33.438409,-70.610877,1744579791000,2025-04-13T21:29:51Z,21:29:51,scraper,False
jam_1744579826000_-33.403222_-70.683066,JAM,,Av. Dorsal,-33.403222,-70.683066,1744579826000,2025-04-13T21:30:26Z,21:30:26,scraper,False
jam_1744579837000_-33.409609_-70.587122,JAM,JAM_STAND_STILL_TRAFFIC,Av. Américo Vespucio Norte,-33.409609,-70.587122,1744579837000,2025-04-13T21:30:37Z,21:30:37,scraper,False
jam_1744579875000_-33.437941_-70.819633,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.437941,-70.819633,1744579875000,2025-04-13T21:31:15Z,21:31:15,scraper,False
jam_1744579906000_-33.953985_-70.713265,JAM,JAM_STAND_STILL_TRAFFIC,Ruta 5 Sur,-33.953985,-70.713265,1744579906000,2025-04-13T21:31:46Z,21:31:46,scraper,False
jam_1744579923000_-33.440806_-70.812006,JAM,,Salida a Autopista Costanera Norte > Oriente,-33.440806,-70.812006,1744579923000,2025-04-13T21:32:03Z,21:32:03,scraper,False
jam_1744579940000_-33.943669_-70.711878,JAM,,Ruta 5 Sur,-33.943669,-70.711878,1744579940000,2025-04-13T21:32:20Z,21:32:20,scraper,False
jam_1744579958000_-33.580492_-70.591026,JAM,JAM_HEAVY_TRAFFIC,Av. Gabriela Poniente,-33.580492,-70.591026,1744579958000,2025-04-13T21:32:38Z,21:32:38,scraper,False
jam_1744579975000_-33.506731_-70.621286,JAM,,Federico Haydn,-33.506731,-70.621286,1744579975000,2025-04-13T21:32:55Z,21:32:55,scraper,False
jam_1744579986000_-33.393507_-70.525051,JAM,JAM_HEAVY_TRAFFIC,Camino Piedra Roja,-33.393507,-70.525051,1744579986000,2025-04-13T21:33:06Z,21:33:06,scraper,False
jam_1744580005000_-33.404138_-70.695877,JAM,JAM_STAND_STILL_TRAFFIC,Autopista Central - Eje Gral. Velásquez,-33.404138,-70.695877,1744580005000,2025-04-13T21:33:25Z,21:33:25,scraper,False
jam_1744580005000_-33.744786_-70.864529,JAM,JAM_HEAVY_TRAFFIC,Av. Balmaceda,-33.744786,-70.864529,1744580005000,2025-04-13T21:33:25Z,21:33:25,scraper,False
jam_1744580023000_-33.745442_-70.864956,JAM,JAM_HEAVY_TRAFFIC,Av. Balmaceda,-33.745442,-70.864956,1744580023000,2025-04-13T21:33:43Z,21:33:43,scraper,False
jam_1744580032000_-34.167019_-71.396458,JAM,,Ruta 66,-34.167019,-71.396458,1744580032000,2025-04-13T21:33:52Z,21:33:52,scraper,False
jam_1744580051000_-33.433183_-71.030649,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.433183,-71.030649,1744580051000,2025-04-13T21:34:11Z,21:34:11,scraper,False
jam_1744580058000_-33.401153_-71.109439,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.401153,-71.109439,1744580058000,2025-04-13T21:34:18Z,21:34:18,scraper,False
jam_1744580062000_-33.405693_-70.643376,JAM,,Av. Einstein,-33.405693,-70.643376,1744580062000,2025-04-13T21:34:22Z,21:34:22,scraper,False
jam_1744580063000_-33.409681_-70.584996,JAM,JAM_HEAVY_TRAFFIC,Av. Presidente Riesco,-33.409681,-70.584996,1744580063000,2025-04-13T21:34:23Z,21:34:23,scraper,False
jam_1744580070000_-33.434925_-71.028558,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.434925,-71.028558,1744580070000,2025-04-13T21:34:30Z,21:34:30,scraper,False
